length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,percussive_mean,percussive_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,filename,Genre,TrackID,label
3.0,0.37345013,0.08091566,0.17481004,0.00054104195,3162.449198350554,329533.77409082634,2627.4072079118796,81816.39156773177,6130.006009615385,1046002.1407774921,0.1768817608173077,0.002368777757565651,-3.530139e-05,0.020812845,0.00017173224,0.0034583698,135.99917763157896,-21.142067,442.7655,51.88168,588.744,-5.564141,192.92867,45.922535,77.962326,0.70087713,31.253086,9.880292,55.02746,0.681299,29.292364,3.287469,37.306866,2.730163,24.30611,8.987634,57.296837,2.2952955,41.42933,10.758128,66.099266,0.26767743,40.008728,0.17609264,34.896324,-0.6839642,65.36401,3.8724768,40.82231,0.09999976,25.22992,6.509262,50.696,7.2232494,66.506355,4.121788,16.764467,Metal-TRFOBPI128F42734B9-9,Metal,TRFOBPI128F42734B9,Metal
3.0,0.39804164,0.07859828,0.1822455,0.0003555233,3087.525456096137,43535.90687405027,2381.175347020399,22401.52613180211,5587.120830829327,224533.24606958227,0.21097506009615385,0.0009525395004001594,-4.4047934e-05,0.015564963,-0.00041843072,0.0064326753,129.19921875,-9.548977,264.49304,51.482925,107.89776,-20.427061,101.133354,52.86881,49.92971,0.26017174,29.731106,4.8140764,25.63332,-7.287626,62.116116,9.663623,23.025785,-7.9076266,37.905655,-2.125962,54.30861,-2.3139808,34.7157,-0.9400297,46.211548,-15.110522,41.801674,-2.9990823,37.68733,-9.68579,31.877546,-4.327433,15.884762,-7.784576,14.821768,0.31113547,28.073776,0.82793814,39.998615,-4.096991,29.780815,Metal-TRNNKWM128F934AB1B-4,Metal,TRNNKWM128F934AB1B,Metal
3.0,0.56813353,0.051795524,0.23105167,0.0007536837,2930.931203986989,69212.80950144019,2649.5518885548813,28052.90118858999,6145.079251802885,309347.0124928909,0.15553635817307693,0.000760156022021051,-1.2261455e-05,0.02274795,-0.00034696763,0.011692937,135.99917763157896,30.50314,202.36444,69.59127,84.29363,-8.2083235,66.45829,33.52573,79.11959,-0.15906537,45.173466,8.82172,32.83883,-0.49489146,82.48653,14.818977,63.156925,-7.1127205,32.004856,1.4792657,23.539333,-4.960754,32.828907,2.032459,22.072176,-1.2191536,18.727364,-0.7142097,21.78866,-4.379458,14.562878,0.112988696,37.3367,-1.7297785,24.139128,3.0737054,15.213191,-1.0992744,18.522097,-0.074049026,23.452896,Metal-TRLMMQH128F934B56B-2,Metal,TRLMMQH128F934B56B,Metal
3.0,0.4417768,0.078464374,0.13286704,0.00019937776,2230.3126747877536,57252.47991729304,2177.495649308784,25176.065588525333,4485.531850961538,119546.00694899024,0.09554161658653847,0.0006303067884501621,2.3901843e-05,0.012215732,4.0030052e-05,0.0023274424,129.19921875,-89.59504,426.71762,83.59768,189.85501,-22.628908,283.94452,63.747807,231.01968,2.7515488,67.57118,20.263374,103.21153,10.551238,76.41468,9.160521,23.485058,-7.0892096,34.5756,1.5928475,32.73852,-2.1594608,24.529776,6.1147985,29.004496,-8.884404,23.719479,1.87879,34.363083,-5.413142,26.843395,1.3365988,18.284962,-2.850815,22.654297,-4.0485873,18.734037,0.80062175,20.26594,-2.6469285,23.170158,Metal-TRSCACG12903CF0E7B-4,Metal,TRSCACG12903CF0E7B,Metal
3.0,0.42905965,0.08766077,0.08812324,0.0009647254,2278.009334683098,191900.6775444103,2581.5416504369036,67083.54802611518,5039.432091346154,670896.4700126084,0.070068359375,0.0005222036288334773,-1.0152896e-05,0.0036144687,-3.3629218e-05,0.0025444194,123.046875,-145.20033,512.72656,80.29345,209.89258,7.6851826,66.993614,53.90317,47.492863,10.879596,22.823246,14.547286,25.63261,7.712749,31.907091,2.953205,27.803993,3.3408668,42.21861,0.29925284,26.808853,-0.45559493,23.218079,2.6399918,29.550331,-0.00019068351,21.74387,-2.323245,20.44527,-3.1648958,22.983185,2.0984843,20.354473,0.5474461,22.908699,-2.9048195,27.108795,-0.24148703,25.83874,-0.6528168,16.830242,Metal-TRFQYPZ12903CF0E76-10,Metal,TRFQYPZ12903CF0E76,Metal
3.0,0.3639779,0.07437316,0.15640663,0.0011558317,2991.025167545072,173109.49364710896,2650.58038008977,51086.42432615433,6126.610389122596,790268.1789893723,0.16055814302884616,0.0012238813010898566,-4.912071e-05,0.013101791,-0.00017031391,0.004956156,161.4990234375,-16.089235,733.4999,63.890656,221.34901,-17.04386,111.8659,23.454,73.52795,4.334252,24.763916,10.972341,89.94833,0.63410366,29.257019,8.101833,40.982723,-5.7880406,39.339725,-3.0883136,32.32171,-17.785652,25.942825,-2.964911,44.377,0.9897771,42.662342,6.663013,46.586124,3.8838704,34.997692,3.663399,39.94064,-3.1022274,45.904724,0.8999577,30.772236,-5.2382045,21.239157,2.0043995,22.87266,Metal-TRXEYQM128F42920A3-6,Metal,TRXEYQM128F42920A3,Metal
3.0,0.59312016,0.052670233,0.32290262,0.0015045751,2939.2960348298175,212575.65674077987,2585.5174547970364,37042.109355003224,5918.235238882212,615769.1237929655,0.15723783052884616,0.0022280966882874983,0.00011169281,0.04966398,-0.00012794456,0.0174576,107.666015625,47.73509,263.38058,61.73089,143.50824,-16.567827,88.25287,35.21893,63.45928,2.911123,41.463215,17.022205,47.275455,2.2563405,53.637486,23.911873,34.382706,5.089035,30.860731,8.486529,40.216118,-0.37892327,52.028957,16.759214,22.713297,-1.4357392,24.787186,2.0084302,26.495548,-6.86056,30.057613,5.0809326,28.004465,-5.291595,22.717514,2.530802,14.345193,-0.3681258,23.293964,2.900184,16.163195,Metal-TRIQNXN12903CF21FB-8,Metal,TRIQNXN12903CF21FB,Metal
3.0,0.53562605,0.060791016,0.2691416,0.00069968274,2545.1984837832415,76837.94801769606,2452.542607080563,70681.54779084492,5262.7976637620195,661514.7175522598,0.11902043269230769,0.000536405348918847,-7.349023e-05,0.045766506,3.3485907e-05,0.007949729,161.4990234375,21.475512,207.36815,80.70904,125.15693,-17.084976,149.45818,40.790604,72.446144,1.22903,66.34011,7.4019957,30.560383,3.9944613,25.767265,14.888127,20.810408,-1.670535,24.11351,8.323599,25.30462,2.6529484,31.209871,4.7307553,19.505148,-1.8231162,19.386656,5.2571244,19.6404,-5.1381516,12.079861,3.1086063,14.999532,-4.1489697,22.971571,1.66691,13.434204,-1.3594142,15.491108,-0.76734644,21.022093,Metal-TRFFHMM128F422CA3F-6,Metal,TRFFHMM128F422CA3F,Metal
3.0,0.33278733,0.088301904,0.12590331,0.00063079904,1149.6514365102921,36300.90354412445,1665.7204299058246,35382.08434216182,2344.303260216346,139844.74152375959,0.04235652043269231,0.00010456786353207198,1.08796726e-07,0.012368323,-0.00011876772,0.00096496416,117.45383522727273,-156.68619,278.94153,151.2479,138.57335,-13.561553,74.65134,38.642124,52.043327,18.432117,54.928585,11.969105,64.93607,1.7091067,41.43436,11.93196,61.285297,-7.878854,26.539457,8.211897,52.49345,-7.5452046,49.857468,0.81133705,39.389317,-4.7943783,28.587793,-1.5493509,26.143806,-4.4050364,52.050903,0.041642528,30.636633,-5.3917847,33.963642,-4.518485,20.14269,-5.714105,36.679653,-3.5372534,50.35395,Metal-TRXSAPP128F424A2B1-8,Metal,TRXSAPP128F424A2B1,Metal
3.0,0.61299855,0.045528766,0.17725883,0.0002987313,2826.899693148025,53854.89305555903,2454.6471585878307,28218.90590510297,5535.10986328125,363852.0825078854,0.15508563701923078,0.0006550509548751561,-5.6024022e-05,0.016668465,0.00016485607,0.00518257,129.19921875,1.8457458,226.99619,66.363914,96.163765,-31.403399,149.13089,25.531855,121.797806,-0.1807683,79.2474,10.383263,45.93559,1.9138962,37.672207,16.746675,23.416899,3.863015,31.557362,10.777813,30.851538,1.7654344,36.05669,7.7544837,33.10129,-3.5814974,25.962627,3.5823593,22.437147,0.50286454,18.596142,2.5931995,17.34322,-3.1397395,26.966461,1.7011338,20.184847,-0.16261749,31.006557,-1.0827585,24.556784,Metal-TRBBUHH12903CF3E9B-5,Metal,TRBBUHH12903CF3E9B,Metal
