track_id,harmony_mean,harmony_var,percussive_mean,percussive_var,tempo
TRJPSUJ128F423C32A,2.3128564e-06,0.018927379,-2.4535228e-05,0.00035822214,117.45383522727273
TRTWHTW128F92F6EFD,0.00095795153,0.011899321,0.00076824555,7.445025e-05,95.703125
TRADJAG128F93051C2,-1.0625973e-05,0.006128812,-1.027762e-05,2.0687849e-05,135.99917763157896
TRCBUSM128F146A467,6.113695e-06,0.019261712,-3.0205749e-05,0.0031355377,143.5546875
TRNIXMN128F4295F70,-4.6630016e-06,0.017890373,-9.0235044e-05,0.0004473915,135.99917763157896
TRAUHFH128F14813AC,-1.1210843e-05,0.072971106,-0.00010102414,0.0029881694,69.83741554054055
TRGSXES128F1468D90,-2.5475529e-06,0.000523217,-1.5068555e-05,0.00012557209,95.703125
TRBLBSD128F1490EF0,-2.9147068e-06,0.011147449,-1.3415628e-05,0.00043289294,151.99908088235293
TRFDVAM128F1453AD9,-9.4496464e-08,0.004134235,-2.4246752e-05,5.2676096e-05,135.99917763157896
TRYJDHQ128F429023D,-1.3757992e-06,0.025564723,-6.384754e-05,0.0006118836,117.45383522727273
TRDCVAI128F1473EC6,-1.3785273e-06,0.036539003,-0.000100639314,0.0015804293,117.45383522727273
TRQJNXY128F1469546,-8.7599346e-07,0.0031672122,-9.105994e-06,0.00035274622,135.99917763157896
TRCOLZV128F1453AD8,3.6492495e-06,0.020067608,-3.2614869e-06,0.002346344,112.34714673913044
TRMLAVO128F1469D94,3.9193455e-06,0.009746782,-2.3490347e-05,0.0024392488,184.5703125
TRYORAP128EF3447E3,-1.41497085e-05,0.008007801,-0.0001397261,7.5403754e-05,143.5546875
TRHHKVQ128F423C322,1.8078075e-06,0.0055232686,-3.314588e-05,0.00024048303,107.666015625
TRTQYNR128F14881D7,1.1703649e-07,0.031549696,-0.00017947046,0.0023457692,112.34714673913044
TRLENDR128F92F6EFC,0.0009735689,0.017984757,0.001361551,0.00026638413,161.4990234375
TRNVLKM128F4285E1C,-1.6720066e-06,0.0459347,3.2894015e-05,0.011207429,129.19921875
TRPZFRA128F146956E,1.9376027e-06,0.016065504,5.124768e-05,0.00412647,123.046875
