track_id,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var
TRACOHF128F1498509,0.41883513,0.08700571,0.16638318,0.0029691106,2412.341080007799,640384.2710239098
TRADWSG128F4259317,0.4214992,0.09100383,0.18561618,0.0035762843,2345.8884286906114,667340.9209049201
TRAELUY128F93147BA,0.299718,0.09467912,0.124767944,0.0025884311,2441.3715473540524,320789.62125587364
TRAHVWB128F9308FB0,0.38281414,0.08110945,0.19256045,0.00049599074,1961.8392937100639,350887.70182313706
TRAJGIO128F92E84BC,0.29384,0.08591646,0.11091989,0.00069532334,1856.888236061615,178943.67448650862
TRAOPNA128F427E83F,0.3279684,0.087424435,0.0743009,0.0010360152,1677.0194199568414,440035.07951414236
TRAQGFP128E078FAB6,0.4326022,0.071093045,0.12435519,0.0002144631,3403.3225746371186,88789.31227978341
TRARJEK128F930B3AA,0.38761675,0.081555285,0.14269096,0.00037623983,2347.122222216982,150312.88189882593
TRATLTV128F92FC979,0.36371607,0.092487454,0.11685516,0.00081823557,2524.607636291853,496096.1081790258
TRAUJPR128F92CA3AF,0.40678337,0.0786196,0.20791738,0.003171416,1890.0912811779951,350297.9456716457
TRAUYOD128F42647FE,0.34611246,0.08779278,0.10563763,0.0008315813,2374.495873148681,549385.3569243494
TRAYHQV128F4266D63,0.31335527,0.08920222,0.22628912,0.0066713993,1745.991473234888,95113.74697009331
TRBVOHY128F92E6A11,0.37566584,0.08408218,0.20911548,0.003071789,2200.5528999709413,293660.29884831095
TRCPUIL128F931ACAF,0.52141136,0.070746176,0.2869499,0.0046736174,3289.2787646567276,339957.9119642507
TRCQEDW128E078F467,0.34770513,0.086565964,0.13542973,0.00064403587,2029.5648070791447,173608.85441291626
TRCQIRC12903CD9446,0.49001917,0.071565285,0.29046485,0.008455257,3040.5186928778903,536056.7822565739
TRCQSGB128F9325176,0.4544845,0.0745557,0.13420439,0.0050659957,517.0960417915148,41031.56721887346
TRCRAIR128F935713E,0.30592445,0.09070975,0.21643142,0.0038647652,2123.2092991338786,121077.50832385523
TRCRUHY128F930FFF8,0.41959283,0.076740906,0.28421095,0.00089247973,2743.56251668195,160709.42547496414
TRCSJKR128F92C2E38,0.4037483,0.07840859,0.24447717,0.00046757422,2659.496156443902,80253.8457820281
TRCTCLO128F9339FC8,0.45067608,0.070876576,0.19373271,0.0012748974,2637.3680548482175,280390.2115830098
TRCTNIW128F9300B00,0.31606188,0.089158535,0.19328365,0.0017868545,1144.1777641791157,66191.09185270536
TRCWLAL12903CD44FD,0.4749104,0.079978324,0.17582233,0.0021768613,1809.3690816253531,499166.7323588007
TRCWWBE128F92FB877,0.3750668,0.09043594,0.20587106,0.0032165258,1728.2150060950996,575519.811090145
TRCXXKB12903CE4F4C,0.2497741,0.089128464,0.0442219,0.00042764968,1082.46782159957,40205.93374975066
TRDADSI128F42BC0B5,0.3293588,0.08902112,0.10632601,0.0035806294,2588.4575649114904,495163.95797698904
TRDDEDH128F9308E9F,0.48704764,0.06962318,0.27875033,0.0125117395,2900.0447766574175,819482.3704656418
TRDLAJC12903D081BF,0.27633482,0.083709665,0.111158825,0.0016654705,2000.5659438378211,129286.48656012164
TRDNOZL128F4235294,0.40294188,0.08153271,0.2523148,0.0040893694,2641.5996318076564,796619.1826657092
TREDEHW128F427C0F4,0.44857305,0.07319473,0.16731961,0.0008507238,2255.160282244342,131499.90373326713
TREKSOC128F935172C,0.4102721,0.079705864,0.15345368,0.0020909847,1332.0034618310608,399215.5838556202
TREUZOI128F92D2C49,0.33830425,0.09224087,0.09693744,0.0016285584,2158.332415162248,643455.8188456815
TREZQKM128F930EBD0,0.37165302,0.090910606,0.051505323,0.0006479464,2614.21223068548,213690.0702895929
TRFIJKG128F4264CF1,0.44360605,0.07602196,0.30177942,0.0041776765,2712.196563842257,253062.67459847595
TRFMZYD128F9340103,0.30606464,0.09595206,0.099315375,0.004051375,1648.0553564589788,526706.7006294162
TRFPHYZ128F428CA40,0.4831854,0.07430709,0.29704827,0.0023418267,2690.5450605764236,298646.43482228235
TRFREFO12903CB7B2D,0.25937778,0.10148602,0.07731906,0.0033783843,1455.8101389674769,205944.73514454198
TRFWLDO128F93613DF,0.40763542,0.077897765,0.2061942,0.0029349,1950.7480220157775,392718.82334591355
