track_id,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,harmony_mean,perceptr_mean,tempo_x,name,tags,genre,duration_ms,energy,key,mode,speechiness,instrumentalness,liveness,valence,tempo_y,time_signature
TRACOHF128F1498509,0.41883513,0.08700571,0.16638318,0.0029691106,2412.341080007799,640384.2710239098,-1.513158e-06,1.551653e-05,184.5703125,Chevrolet,"blues, blues_rock",Blues,158266,0.839,9,1,0.0978,0.0,0.0528,0.945,90.581,4
TRADWSG128F4259317,0.4214992,0.09100383,0.18561618,0.0035762843,2345.888428690612,667340.9209049201,1.0605331e-05,0.00013301839,151.99908088235293,Junco Partner,"punk, reggae, post_punk, ska",Blues,292040,0.769,0,1,0.0688,2.97e-05,0.109,0.961,151.6,4
TRAELUY128F93147BA,0.299718,0.09467912,0.124767944,0.0025884311,2441.3715473540524,320789.62125587364,-1.6612131e-06,-5.139705e-05,135.99917763157896,Chitlins Con Carne,"jazz, blues, guitar",Blues,331106,0.312,0,0,0.0436,0.225,0.115,0.846,132.764,4
TRAHVWB128F9308FB0,0.38281414,0.08110945,0.19256045,0.00049599074,1961.839293710064,350887.70182313706,-8.8997683e-07,3.9173712e-05,99.38401442307692,Shake Your Moneymaker,"classic_rock, blues, 60s, blues_rock",Blues,175280,0.937,6,0,0.042,0.00525,0.268,0.934,101.37,4
TRAJGIO128F92E84BC,0.29384,0.08591646,0.11091989,0.00069532334,1856.888236061615,178943.67448650862,-0.0025033907,-0.0017678624,112.34714673913044,How Many More Years,"blues, guitar",Blues,163266,0.738,7,1,0.18,0.0092,0.133,0.532,109.795,4
TRAOPNA128F427E83F,0.3279684,0.087424435,0.0743009,0.0010360152,1677.0194199568414,440035.0795141424,8.884498e-06,6.6778426e-05,161.4990234375,Empire State Express,blues,Blues,187973,0.445,10,1,0.0851,0.000178,0.756,0.683,160.112,4
TRAQGFP128E078FAB6,0.4326022,0.071093045,0.12435519,0.0002144631,3403.3225746371186,88789.31227978341,-1.8065454e-06,-9.1677364e-05,135.99917763157896,Rollin' And Tumblin',"rock, classic_rock, blues, 60s, psychedelic_rock, cover, blues_rock",Blues,285506,0.892,11,0,0.137,0.00155,0.0951,0.158,140.755,4
TRARJEK128F930B3AA,0.38761675,0.081555285,0.14269096,0.00037623983,2347.122222216982,150312.88189882593,3.1506029e-06,-5.2048326e-05,123.046875,Couldn't Stand The Weather,"blues, guitar, blues_rock",Blues,281586,0.6,1,1,0.0496,0.427,0.239,0.538,120.936,4
TRATLTV128F92FC979,0.36371607,0.092487454,0.11685516,0.00081823557,2524.607636291853,496096.1081790258,2.3515947e-06,2.6983415e-05,112.34714673913044,Cold Shot,"blues, guitar, blues_rock",Blues,240773,0.534,6,1,0.0373,0.00105,0.221,0.698,109.634,4
TRAUJPR128F92CA3AF,0.40678337,0.0786196,0.20791738,0.003171416,1890.0912811779951,350297.9456716457,4.806181e-06,-7.328846e-05,63.02400914634146,Mistake,"electronic, alternative, ambient, chillout",Blues,227226,0.7,4,0,0.0328,0.0821,0.0954,0.168,125.018,4
TRAUYOD128F42647FE,0.34611246,0.08779278,0.10563763,0.0008315813,2374.495873148681,549385.3569243494,1.9084111e-06,7.546854e-06,143.5546875,Good Texan,"blues, guitar, blues_rock",Blues,261893,0.581,9,1,0.054,0.00149,0.308,0.811,142.568,4
TRAYHQV128F4266D63,0.31335527,0.08920222,0.22628912,0.0066713993,1745.991473234888,95113.74697009331,3.4743607e-07,-1.2365301e-05,112.34714673913044,I Want To Be Loved,blues,Blues,151306,0.506,0,1,0.268,1.7e-05,0.0934,0.673,109.889,4
TRBVOHY128F92E6A11,0.37566584,0.08408218,0.20911548,0.003071789,2200.5528999709413,293660.2988483109,-0.00018178899,0.00022386425,107.666015625,There Must Be A Better World Somewhere,"blues, guitar",Blues,268200,0.722,1,1,0.0284,4.59e-05,0.0537,0.773,107.09,4
TRCPUIL128F931ACAF,0.52141136,0.070746176,0.2869499,0.0046736174,3289.278764656728,339957.9119642507,-3.4024351e-06,-0.0001619428,73.828125,Just Let Go,"electronic, dance, electro, synthpop",Blues,252280,0.745,5,0,0.0401,0.118,0.137,0.686,147.985,4
TRCQEDW128E078F467,0.34770513,0.086565964,0.13542973,0.00064403587,2029.5648070791449,173608.85441291626,-2.397181e-06,8.062478e-06,151.99908088235293,Electric Church Red House,"classic_rock, blues, guitar, blues_rock",Blues,372840,0.717,7,1,0.0684,0.0634,0.0836,0.532,74.686,3
TRCQIRC12903CD9446,0.49001917,0.071565285,0.29046485,0.008455257,3040.5186928778903,536056.7822565739,8.732622e-06,-8.775097e-05,135.99917763157896,Bad Influence,"rock, pop, female_vocalists, 00s, pop_rock",Blues,216293,0.898,2,1,0.059,2.71e-06,0.049,0.76,138.079,4
TRCQSGB128F9325176,0.4544845,0.0745557,0.13420439,0.0050659957,517.0960417915148,41031.56721887346,2.7989065e-06,-1.7344802e-05,107.666015625,Twenty,ambient,Blues,1107026,0.124,7,0,0.0413,0.771,0.0965,0.0296,103.718,4
TRCRAIR128F935713E,0.30592445,0.09070975,0.21643142,0.0038647652,2123.209299133878,121077.50832385525,3.2416926e-07,-1.9896645e-05,151.99908088235293,Baby Please Don't Go,blues,Blues,194719,0.658,5,0,0.0361,0.000504,0.362,0.756,126.318,4
TRCRUHY128F930FFF8,0.41959283,0.076740906,0.28421095,0.00089247973,2743.56251668195,160709.42547496414,-1.5261858e-05,-0.00012517176,129.19921875,Nightmare,"metal, hard_rock, heavy_metal, hardcore, metalcore",Blues,374453,0.949,2,1,0.0787,9.98e-05,0.2,0.233,129.984,4
TRCSJKR128F92C2E38,0.4037483,0.07840859,0.24447717,0.00046757422,2659.496156443902,80253.8457820281,7.1180493e-06,0.00027411262,78.30255681818181,Lenny,"rock, indie, britpop",Blues,161400,0.717,9,1,0.076,0.483,0.0918,0.533,159.817,4
TRCTCLO128F9339FC8,0.45067608,0.070876576,0.19373271,0.0012748974,2637.368054848217,280390.2115830098,-5.232847e-06,-4.5983285e-05,123.046875,Peter Gunn,"instrumental, oldies, guitar",Blues,141906,0.666,10,1,0.0415,0.887,0.0968,0.626,123.545,4
TRCTNIW128F9300B00,0.31606188,0.089158535,0.19328365,0.0017868545,1144.1777641791157,66191.09185270536,8.939486e-06,-2.906034e-05,95.703125,I Feel Like Going Home,"alternative, indie, chillout, beautiful, mellow",Blues,254173,0.245,7,1,0.0353,0.94,0.0932,0.104,72.499,4
TRCWLAL12903CD44FD,0.4749104,0.079978324,0.17582233,0.0021768613,1809.3690816253527,499166.7323588007,-1.9643312e-06,-4.1464744e-05,95.703125,Buena,"rock, alternative, jazz, blues, 90s, blues_rock",Blues,199666,0.494,10,0,0.0619,0.179,0.133,0.591,96.641,4
